Fuel_Consumption,Elasticity_G3,Elasticity_G4,Elasticity_G5
1.645238,1470.340203,5.605988,5.43
1.435587,1110.260451,5.605988,9.73
1.46752,1037.470414,5.605988,11.14
1.133285,801.482621,5.605988,37.85
1.118707,800.0,5.605988,21.04
1.634492,1642.157044,5.605988,4.37
1.475884,1700.08126,5.605988,4.51
1.490269,1691.48775,5.605988,4.52
1.849821,1573.365241,5.605988,4.74
1.140599,943.857974,5.605988,16.65
1.292155,1262.155213,5.605988,9.36
1.262788,1332.759687,5.605988,11.97
1.143098,812.6644,5.605988,18.16
1.286629,1687.728846,5.605988,85.18
1.579289,1611.539444,5.605988,4.53
1.359887,1078.806125,5.605988,10.3
1.536588,1578.510137,5.605988,5.22
1.447568,1243.197501,5.605988,7.75
1.69386,1352.644215,5.605988,6.49
1.163786,995.997161,5.605988,12.09
1.25196,1064.820576,5.605988,10.58
1.381245,1730.406286,5.605988,11.68
1.16323,943.853932,5.605988,13.46
1.163233,943.857974,5.605988,13.46
1.163233,943.858361,5.605988,13.46
1.163235,943.861516,5.605988,13.46
1.163231,943.858949,5.605988,13.46
1.163237,943.86699,5.605988,13.46
1.163231,943.85795,5.605988,13.46
1.163231,943.853166,5.605988,13.46
1.163232,943.864995,5.605988,13.46
1.163232,943.861906,5.605988,13.46
1.163234,943.857974,5.605988,13.46
1.16323,943.857974,5.605988,13.46
1.163234,943.857974,5.605988,13.46
1.163233,943.856197,5.605988,13.46
1.163234,943.860488,5.605988,13.46
1.163235,943.864628,5.605988,13.46
1.16323,943.85761,5.605988,13.46
1.163233,943.856659,5.605988,13.46
1.163234,943.857179,5.605988,13.46
1.163231,943.863077,5.605988,13.46
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
5.605988,1177.01,1177.01,1177.01
